"tick";"MeanSilo";"StdvSilo"
0.0;-0.7821890117432015;0.01178647416911099
1.0;-0.7821890117432015;0.01178647416911099
11.0;-0.7821193590866311;0.011766224296133212
21.0;-0.7822774749754405;0.011834120129497236
31.0;-0.782087896131911;0.011938857254492974
41.0;-0.7819845415168862;0.011806766836341291
51.0;-0.7822435616126836;0.011956216828277693
61.0;-0.782339125218645;0.011783889458278978
71.0;-0.7823420654373867;0.011739260037523054
81.0;-0.7823008073753414;0.012049862668015254
91.0;-0.781846256695594;0.015941532248674943
101.0;-0.7814843821712877;0.016665786207405737
111.0;-0.7815452729008412;0.016836792739031953
121.0;-0.7812237257991105;0.019512183973614074
131.0;-0.7810145509324011;0.019800371591903874
141.0;-0.7808683827404849;0.023602478346455517
151.0;-0.7810756916496171;0.023405421473583404
161.0;-0.7803939140055614;0.025436786362255517
171.0;-0.7802053455634554;0.0263098083875455
181.0;-0.7799637593017565;0.026782004286465034
191.0;-0.7798928267646005;0.02641164293169082
201.0;-0.7792586065740147;0.028116039287941354
211.0;-0.7792297269196395;0.02803348192644724
